word	collection	value
riuer	country	416/107870
riuer	north_america	1524/2762132
riuer	europe	8384/53130550
riuer	milton	0
riuer	shakespeare	23/686328
riuer	corpus	18919/86396910
leagues	country	331/107870
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
sea	country	355/107870
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
chap	country	258/107870
chap	north_america	4499/2762132
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
land	country	280/107870
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
sauages	country	116/107870
sauages	north_america	273/2762132
sauages	europe	239/53130550
sauages	milton	0
sauages	shakespeare	3/686328
sauages	corpus	800/86396910
saguenay	country	60/107870
saguenay	north_america	74/2762132
saguenay	europe	16/53130550
saguenay	milton	0
saguenay	shakespeare	0
saguenay	corpus	96/86396910
hochelaga	country	62/107870
hochelaga	north_america	74/2762132
hochelaga	europe	23/53130550
hochelaga	milton	0
hochelaga	shakespeare	0
hochelaga	corpus	101/86396910
french	country	227/107870
french	north_america	1559/2762132
french	europe	71090/53130550
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
north	country	235/107870
north	north_america	3567/2762132
north	europe	14493/53130550
north	milton	73/332927
north	shakespeare	50/686328
north	corpus	28384/86396910
